iter	Passed	Remaining
566	777	593
567	777	591
568	778	589
569	781	589
570	782	588
571	783	586
572	784	584
573	785	582
574	786	581
575	787	579
576	788	577
577	788	575
578	789	574
579	790	572
580	791	570
581	792	568
582	792	567
583	793	565
584	795	564
585	796	563
586	798	561
587	798	559
588	799	557
589	800	556
590	801	554
591	801	552
592	802	550
593	803	549
594	804	547
595	805	545
596	805	544
597	806	542
598	807	540
599	808	538
600	810	538
601	811	536
602	812	534
603	812	532
604	813	531
605	814	529
606	814	527
607	815	525
608	815	523
609	816	522
610	817	520
611	817	518
612	818	516
613	819	514
614	819	513
615	820	511
616	820	509
617	821	507
618	823	506
619	824	505
620	826	504
621	827	502
622	827	501
623	828	499
624	829	497
625	829	495
626	830	494
627	831	492
628	831	490
629	832	488
630	833	487
631	833	485
632	834	483
633	834	481
634	835	480
635	835	478
636	836	476
637	837	475
638	837	473
639	838	471
640	840	470
641	841	469
642	841	467
643	842	465
644	843	464
645	843	462
646	844	460
647	844	458
648	845	457
649	845	455
650	846	453
651	847	452
652	847	450
653	848	448
654	849	447
655	849	445
656	850	443
657	850	442
658	851	440
659	852	439
660	852	437
661	853	435
662	855	434
663	856	433
664	857	432
665	858	430
666	859	428
667	859	427
668	860	425
669	860	424
670	861	422
671	862	420
672	862	419
673	863	417
674	864	416
675	865	415
676	867	413
677	868	412
678	871	411
679	872	410
680	873	409
681	874	407
682	875	406
683	875	404
684	876	403
685	877	401
686	878	400
687	878	398
688	879	397
689	880	395
690	881	394
691	883	393
692	889	394
693	891	392
694	891	391
695	892	389
696	892	388
697	893	386
698	894	385
699	895	383
700	895	382
701	896	380
702	897	379
703	898	377
704	898	376
705	902	376
706	903	374
707	904	373
708	905	371
709	906	370
710	907	368
711	907	367
712	908	365
713	909	364
714	909	362
715	910	361
716	911	359
717	911	358
718	912	356
719	912	355
720	913	353
721	921	354
722	922	353
723	923	351
724	923	350
725	924	348
726	924	347
727	925	345
728	926	344
729	927	342
730	927	341
731	928	339
732	929	338
733	932	337
734	934	336
735	934	335
736	935	333
737	936	332
738	936	330
739	937	329
740	937	327
741	938	326
742	939	324
743	939	323
744	940	321
745	941	320
746	941	318
747	942	317
748	942	315
749	943	314
750	944	313
751	946	312
752	947	310
753	948	309
754	949	308
755	950	306
756	950	305
757	951	303
758	952	302
759	952	300
760	953	299
761	953	297
762	954	296
763	955	295
764	955	293
765	956	292
766	956	290
767	957	289
768	958	287
769	958	286
770	959	285
771	961	283
772	963	282
773	964	281
774	964	280
775	965	278
776	966	277
777	967	276
778	969	275
779	971	273
780	972	272
781	973	271
782	977	270
783	978	269
784	979	268
785	979	266
786	980	265
787	981	264
788	982	262
789	983	261
790	983	259
791	984	258
792	985	257
793	985	255
794	986	254
795	987	253
796	988	251
797	988	250
798	990	249
799	991	247
800	992	246
801	993	245
802	994	244
803	995	242
804	996	241
805	996	239
806	997	238
807	998	237
808	998	235
809	999	234
810	1000	233
811	1000	231
812	1001	230
813	1002	229
814	1003	227
815	1004	226
816	1005	225
817	1006	224
818	1007	222
819	1008	221
820	1009	220
821	1010	218
822	1010	217
823	1011	216
824	1013	214
825	1013	213
826	1016	212
827	1017	211
828	1018	210
829	1021	209
830	1023	208
831	1023	206
832	1024	205
833	1025	204
834	1026	202
835	1026	201
836	1027	200
837	1028	198
838	1028	197
839	1029	196
840	1030	194
841	1031	193
842	1031	192
843	1032	190
844	1033	189
845	1033	188
846	1035	186
847	1036	185
848	1037	184
849	1038	183
850	1039	182
851	1040	180
852	1040	179
853	1041	178
854	1042	176
855	1043	175
856	1044	174
857	1045	173
858	1047	171
859	1048	170
860	1048	169
861	1051	168
862	1052	167
863	1052	165
864	1053	164
865	1054	163
866	1055	161
867	1055	160
868	1056	159
869	1056	157
870	1057	156
871	1058	155
872	1059	154
873	1059	152
874	1060	151
875	1061	150
876	1062	148
877	1062	147
878	1063	146
879	1063	145
880	1067	144
881	1067	142
882	1068	141
883	1069	140
884	1069	138
885	1070	137
886	1070	136
887	1071	135
888	1072	133
889	1072	132
890	1073	131
891	1073	130
892	1074	128
893	1075	127
894	1075	126
895	1076	124
896	1077	123
897	1077	122
898	1078	121
899	1078	119
900	1080	118
901	1081	117
902	1082	116
903	1083	115
904	1083	113
905	1084	112
906	1084	111
907	1085	110
908	1086	108
909	1087	107
910	1087	106
911	1088	105
912	1088	103
913	1089	102
914	1090	101
915	1090	100
916	1091	98
917	1091	97
918	1092	96
919	1093	95
920	1093	93
921	1095	92
922	1096	91
923	1097	90
924	1097	89
925	1098	87
926	1099	86
927	1099	85
928	1100	84
929	1100	82
930	1101	81
931	1102	80
932	1102	79
933	1103	77
934	1103	76
935	1104	75
936	1105	74
937	1105	73
938	1106	71
939	1106	70
940	1107	69
941	1108	68
942	1108	67
943	1110	65
944	1111	64
945	1112	63
946	1112	62
947	1113	61
948	1114	59
949	1114	58
950	1115	57
951	1115	56
952	1116	55
953	1117	53
954	1117	52
955	1118	51
956	1118	50
957	1119	49
958	1119	47
959	1120	46
960	1121	45
961	1122	44
962	1122	43
963	1123	41
964	1123	40
965	1126	39
966	1127	38
967	1128	37
968	1128	36
969	1129	34
970	1130	33
971	1130	32
972	1131	31
973	1132	30
974	1132	29
975	1133	27
976	1134	26
977	1134	25
978	1135	24
979	1135	23
980	1136	22
981	1137	20
982	1137	19
983	1138	18
984	1138	17
985	1140	16
986	1141	15
987	1142	13
988	1143	12
989	1144	11
990	1144	10
991	1145	9
992	1145	8
993	1146	6
994	1147	5
995	1147	4
996	1148	3
997	1148	2
998	1149	1
999	1150	0
